symptoms,disease,precautions,medicine
"depression, vomiting, dizziness",Common Cold,"rest, stay hydrated, use humidifier",Paracetamol
"chest pain, dizziness, nausea, sweating, rash, blurred vision",Food Poisoning,"drink ORS, avoid solid food, rest",ORS Sachets
"dizziness, tingling, loss of smell, depression",COVID-19,"isolation, mask, consult doctor",Favipiravir
"sneezing, runny nose, loss of taste, muscle pain",Typhoid,"antibiotics, boiled water, rest",Ciprofloxacin
"sweating, chills, joint pain, depression, sore throat",Chickenpox,"calamine lotion, rest, oatmeal baths",Acyclovir
"joint pain, sneezing, anxiety, vomiting",Asthma,"inhaler, avoid smoke, monitor symptoms",Salbutamol
"tingling, abdominal pain, irritability, diarrhea, insomnia",Food Poisoning,"drink ORS, avoid solid food, rest",ORS Sachets
"sweating, fever, abdominal pain, shortness of breath, chills",Typhoid,"antibiotics, boiled water, rest",Ciprofloxacin
"fever, blurred vision, joint pain",Dengue,"fluids, paracetamol, avoid NSAIDs",Paracetamol
"fatigue, swollen glands, runny nose, insomnia, headache, fever",Pneumonia,"antibiotics, rest, fluids",Azithromycin
"rash, nausea, abdominal pain, tingling, loss of taste",Pneumonia,"antibiotics, rest, fluids",Azithromycin
"abdominal pain, cough, tingling, fever, sneezing",Common Cold,"rest, stay hydrated, use humidifier",Paracetamol
"abdominal pain, chest pain, fever, fatigue",Common Cold,"rest, stay hydrated, use humidifier",Paracetamol
"vomiting, loss of taste, fever, irritability",Malaria,"mosquito nets, antimalarial drugs, rest",Chloroquine
"runny nose, anxiety, swollen glands, back pain, dizziness",Chickenpox,"calamine lotion, rest, oatmeal baths",Acyclovir
"loss of smell, joint pain, rash",Food Poisoning,"drink ORS, avoid solid food, rest",ORS Sachets
"fatigue, tingling, nausea, itchy eyes, fever, diarrhea",Dengue,"fluids, paracetamol, avoid NSAIDs",Paracetamol
"itchy eyes, vomiting, rash, irritability, sweating",Pneumonia,"antibiotics, rest, fluids",Azithromycin
"joint pain, nausea, headache, loss of taste, chest pain",Chickenpox,"calamine lotion, rest, oatmeal baths",Acyclovir
"fever, shortness of breath, dizziness, chills, fatigue, headache",Migraine,"dark room, pain relievers, avoid triggers",Ibuprofen
"insomnia, shortness of breath, joint pain, rash, vomiting, blurred vision",Malaria,"mosquito nets, antimalarial drugs, rest",Chloroquine
"insomnia, chest pain, depression",Pneumonia,"antibiotics, rest, fluids",Azithromycin
"tingling, irritability, chills, itchy eyes, abdominal pain, diarrhea",Migraine,"dark room, pain relievers, avoid triggers",Ibuprofen
"vomiting, fatigue, diarrhea, tingling, shortness of breath, nausea",Common Cold,"rest, stay hydrated, use humidifier",Paracetamol
"sore throat, loss of smell, dizziness, nausea",Asthma,"inhaler, avoid smoke, monitor symptoms",Salbutamol
"irritability, sweating, loss of smell, swollen glands",COVID-19,"isolation, mask, consult doctor",Favipiravir
"runny nose, cough, insomnia",Flu,"rest, fluids, antiviral medication",Oseltamivir
"back pain, diarrhea, blurred vision, loss of smell, itchy eyes, chest pain",Allergy,"antihistamines, avoid allergens, clean environment",Cetirizine
"vomiting, tingling, insomnia, joint pain, sweating",Flu,"rest, fluids, antiviral medication",Oseltamivir
"rash, joint pain, cough, chest pain",Chickenpox,"calamine lotion, rest, oatmeal baths",Acyclovir
"sore throat, cough, dizziness",Common Cold,"rest, stay hydrated, use humidifier",Paracetamol
"anxiety, back pain, loss of smell",Dengue,"fluids, paracetamol, avoid NSAIDs",Paracetamol
"irritability, loss of smell, abdominal pain, back pain",COVID-19,"isolation, mask, consult doctor",Favipiravir
"blurred vision, insomnia, sneezing, fever, cough",COVID-19,"isolation, mask, consult doctor",Favipiravir
"diarrhea, dizziness, chest pain, vomiting",Asthma,"inhaler, avoid smoke, monitor symptoms",Salbutamol
"vomiting, loss of smell, abdominal pain, tingling, shortness of breath",Flu,"rest, fluids, antiviral medication",Oseltamivir
"muscle pain, diarrhea, sore throat, vomiting",Common Cold,"rest, stay hydrated, use humidifier",Paracetamol
"runny nose, cough, fever, sneezing, sweating",Dengue,"fluids, paracetamol, avoid NSAIDs",Paracetamol
"diarrhea, irritability, insomnia, chills, runny nose, tingling",Typhoid,"antibiotics, boiled water, rest",Ciprofloxacin
